RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-867,Aluno-867,ALFA,Ametista,7.409090909,7.51,7.5,7.5,9,1
RA-868,Aluno-868,ALFA,Topázio,9.5,8.76,7.1875,8.67,8,0
RA-868,Aluno-868,ALFA,Ametista,9.75,3.76,6.875,7.213333333,9,1
RA-869,Aluno-869,ALFA,Topázio,10.0,8.76,8.125,8.75,8,0
RA-87,Aluno-87,5,Topázio,9.6,7.5,,8.5,15,1
RA-87,Aluno-87,FASE 6,Topázio,10.0,5.63,8.125,8.385,16,2
RA-87,Aluno-87,7A,Topázio,9.649122807,9.375,9.375,9.623333333,17,3
RA-870,Aluno-870,ALFA,Quartzo,8.5,8.76,5.0,5.165,9,0
RA-871,Aluno-871,ALFA,Agata,9.5,3.76,4.375,6.84,9,0
RA-871,Aluno-871,1B,Ametista,9.328063240999999,4.38,5.3125,5.783333333,10,1
RA-872,Aluno-872,ALFA,Quartzo,6.7,2.52,6.25,8.5,10,0
RA-873,Aluno-873,ALFA,Ametista,9.7,7.52,6.25,8.67,11,0
RA-873,Aluno-873,1B,Ametista,10.0,6.88,7.1875,7.77,12,1
RA-874,Aluno-874,ALFA,Quartzo,8.2,7.52,6.25,6.67,10,0
RA-874,Aluno-874,1E,Ametista,4.696969697,6.26,8.75,7.915,11,1
RA-875,Aluno-875,ALFA,Topázio,9.5,7.52,7.5,9.845,9,0
RA-876,Aluno-876,ALFA,Topázio,9.4,7.52,7.5,8.835,8,0
RA-876,Aluno-876,1K,Ametista,9.0476190475,7.51,8.333333333,8.09,9,1
RA-877,Aluno-877,ALFA,Ametista,9.5,7.52,5.0,7.5,9,0
RA-878,Aluno-878,ALFA,Agata,9.5,2.52,5.0,7.34,10,0
RA-878,Aluno-878,1B,Agata,6.1363636360000005,4.38,7.1875,6.996666667,11,1
RA-879,Aluno-879,ALFA,Agata,9.8,2.52,6.875,8.915,9,0
RA-879,Aluno-879,1A,Topázio,9.090909091,6.26,7.8125,8.67,10,1
RA-88,Aluno-88,5,Ametista,9.2,5.6,,9.208,17,1
RA-88,Aluno-88,FASE 8,,,,,,18,2
RA-88,Aluno-88,8E,,0.0,,,,19,3
RA-880,Aluno-880,ALFA,Agata,9.4,2.52,6.25,8.585,8,0
RA-880,Aluno-880,ALFA,Agata,8.445652174,2.51,7.1875,7.22,9,1
RA-881,Aluno-881,ALFA,Ametista,8.9,7.52,5.0,6.25,8,0
RA-882,Aluno-882,ALFA,Agata,8.6,2.52,3.75,4.16,8,0
RA-883,Aluno-883,ALFA,Topázio,9.7,6.89,6.25,8.17,8,0
RA-884,Aluno-884,ALFA,Topázio,9.7,4.39,6.875,8.66,8,0
RA-884,Aluno-884,ALFA,Topázio,8.818181818,6.26,7.5,8.223333333,9,1
RA-885,Aluno-885,ALFA,Topázio,9.8,7.52,7.5,8.665,8,0
RA-885,Aluno-885,ALFA,Topázio,10.0,7.51,7.5,8.28,9,1
RA-886,Aluno-886,ALFA,Topázio,9.4,7.52,7.5,9.0,7,0
RA-886,Aluno-886,ALFA,Topázio,10.0,8.13,7.5,8.28,8,1
RA-887,Aluno-887,ALFA,Topázio,8.9,7.52,7.5,9.09,8,0
RA-888,Aluno-888,ALFA,Topázio,10.0,7.52,7.5,8.83,7,0
RA-888,Aluno-888,ALFA,Topázio,10.0,6.88,7.5,8.28,8,1
RA-889,Aluno-889,ALFA,Topázio,9.5,6.89,7.5,9.0,8,0
RA-889,Aluno-889,ALFA,Topázio,9.2954545455,6.26,7.5,8.28,9,1
RA-89,Aluno-89,5,Ametista,7.8,7.5,,8.0,16,1
RA-89,Aluno-89,FASE 6,Agata,8.1,5.0,7.34375,7.465,17,2
RA-890,Aluno-890,ALFA,Agata,9.1,2.52,6.25,8.16,8,0
RA-891,Aluno-891,ALFA,Ametista,9.5,6.89,7.5,7.995,9,0
RA-891,Aluno-891,ALFA,Topázio,9.0454545455,6.26,7.5,8.003333333,10,1
RA-892,Aluno-892,ALFA,Topázio,9.6,6.89,7.5,10.01,8,0
RA-892,Aluno-892,1C,Topázio,10.0,7.51,8.125,7.92,9,1
RA-893,Aluno-893,ALFA,Topázio,10.0,7.52,7.5,10.01,9,0
RA-893,Aluno-893,1B,Topázio,10.0,7.51,8.125,7.886666667,10,1
RA-894,Aluno-894,ALFA,Topázio,9.9,7.52,7.5,10.01,9,0
RA-894,Aluno-894,1C,Topázio,10.0,7.51,8.4375,8.42,10,1
RA-895,Aluno-895,ALFA,Topázio,9.5,7.52,6.875,9.5,8,0
RA-895,Aluno-895,ALFA,Topázio,9.5454545455,6.26,7.5,8.113333333,9,1
RA-896,Aluno-896,ALFA,Topázio,10.0,6.89,7.5,10.01,8,0
RA-896,Aluno-896,1C,Topázio,9.7727272725,7.51,8.125,8.085,9,1
RA-897,Aluno-897,ALFA,Quartzo,8.1,7.52,6.5625,3.32,9,0
RA-897,Aluno-897,ALFA,Quartzo,2.7525252525,2.51,6.875,6.66,10,1
RA-898,Aluno-898,ALFA,Topázio,9.8,3.77,8.125,10.01,9,0
RA-898,Aluno-898,1B,Ametista,10.0,7.51,7.5,8.616666667,10,1
RA-899,Aluno-899,ALFA,Topázio,9.8,3.77,7.5,9.34,8,0
RA-899,Aluno-899,1B,Topázio,9.1007905135,5.635,8.125,7.893333333,9,1
RA-9,Aluno-9,7,Topázio,9.5,7.5,,9.5,18,3
RA-90,Aluno-90,5,Topázio,9.7,9.4,,9.75,13,3
RA-90,Aluno-90,FASE 5,Topázio,9.6,7.52,8.59375,8.1725,14,4
RA-90,Aluno-90,7E,Topázio,9.0,6.885,7.5,7.5,15,3
RA-900,Aluno-900,ALFA,Topázio,9.8,9.38,8.125,8.67,8,0
RA-900,Aluno-900,1B,Topázio,9.318181818,8.13,8.125,8.563333333,9,1
RA-901,Aluno-901,ALFA,Ametista,8.7,3.77,6.25,8.595,11,0
RA-902,Aluno-902,ALFA,Quartzo,9.3,2.52,5.3125,6.5,12,0
RA-903,Aluno-903,ALFA,Topázio,9.6,5.02,7.5,9.01,8,0
RA-903,Aluno-903,1B,Topázio,9.7727272725,7.505,7.8125,7.946666667,9,1
RA-904,Aluno-904,ALFA,Topázio,9.3,7.52,7.8125,7.836666667,7,0
RA-904,Aluno-904,ALFA,Ametista,8.75,7.51,7.5,8.67,8,1
RA-905,Aluno-905,ALFA,Ametista,9.4,7.52,6.875,7.056666667,10,0
RA-905,Aluno-905,ALFA,Agata,7.7794117645,7.51,6.875,6.99,11,1
RA-906,Aluno-906,ALFA,Topázio,9.2,7.52,7.5,6.95,8,0
RA-907,Aluno-907,ALFA,Topázio,9.6,7.52,8.125,8.336666667,8,0
RA-907,Aluno-907,ALFA,Ametista,8.9444444445,7.51,7.5,7.5,9,1
RA-908,Aluno-908,ALFA,Topázio,9.0,7.52,8.125,8.223333333,8,0
RA-908,Aluno-908,ALFA,Agata,8.14171123,7.51,7.1875,6.83,9,1
RA-909,Aluno-909,ALFA,Topázio,9.9,7.52,8.125,8.056666667,10,0
RA-909,Aluno-909,ALFA,Ametista,8.1666666665,7.51,6.875,7.5,11,1
RA-91,Aluno-91,5,Ágata,5.7,5.6,,7.125,16,6
RA-91,Aluno-91,FASE 6,Ametista,7.4,6.89,7.8125,7.4675,17,7
RA-91,Aluno-91,6L,Ametista,7.476190476333334,5.635,7.875,8.068,18,3
RA-910,Aluno-910,ALFA,Ametista,8.8,7.52,8.75,8.17,8,0
RA-910,Aluno-910,1G,Topázio,8.674242424500001,7.51,7.916666667,7.443333333,9,1
RA-911,Aluno-911,ALFA,Quartzo,6.7,2.52,5.3125,7.01,11,0
RA-911,Aluno-911,1G,Quartzo,4.772727273,7.51,6.041666667,4.726666667,12,1
RA-912,Aluno-912,ALFA,Ametista,9.4,7.52,5.625,7.175,9,0
RA-912,Aluno-912,ALFA,Ametista,9.4736842105,7.51,8.125,6.943333333,10,1
RA-913,Aluno-913,ALFA,Ametista,8.5,6.89,6.25,9.245,10,0
RA-914,Aluno-914,ALFA,Topázio,9.2,7.52,6.25,8.67,8,0
RA-915,Aluno-915,ALFA,Topázio,8.4,7.52,7.5,8.67,8,0
RA-916,Aluno-916,ALFA,Ametista,9.7,2.52,6.25,9.005,9,0
RA-916,Aluno-916,ALFA,Quartzo,7.3320158105,2.51,6.5625,6.16,10,1
RA-917,Aluno-917,ALFA,Quartzo,7.2,2.52,6.25,6.35,8,0
RA-918,Aluno-918,ALFA,Ametista,8.7,2.52,5.625,7.01,7,0
RA-918,Aluno-918,ALFA,Quartzo,8.697368421,2.51,5.9375,6.156666667,8,1
RA-919,Aluno-919,ALFA,Agata,8.4,7.52,6.25,8.09,9,0
RA-919,Aluno-919,ALFA,Quartzo,4.692513369,6.255,6.875,6.49,10,1
RA-92,Aluno-92,5,Ágata,7.1,5.0,,6.667,16,6
RA-92,Aluno-92,FASE 6,Ametista,9.4,5.63,7.1875,7.045,17,7
RA-92,Aluno-92,7A,Topázio,8.769145085,7.51,7.8125,6.33,18,3
RA-920,Aluno-920,ALFA,Agata,6.3,7.52,5.625,6.35,8,0
RA-920,Aluno-920,ALFA,Ametista,7.6710526315,7.51,7.1875,8.226666667,9,1
RA-921,Aluno-921,ALFA,Ametista,9.7,7.52,5.625,6.68,7,0
